patentNumber,applicationNum,familyID,applicationDate,granted,grantDate,cpcClass,publicationItems,publicationDate,priorityNumber,language,ipc,title,abstract
EP3195632,EP15739172,53682632,"Sat, 11 Jul 2015",1,"Wed, 09 May 2018",['H04W 76/14'],"['EP 3195632 A1', 'EP 3195632 B1']","Wed, 09 May 2018",DE/102014014136,de,"['G05D 1/00', 'H04W 4/00', 'H04W 4/40', 'H04W 76/14', 'H04W 76/15', 'H04W 76/19', 'H04W 76/34']",METHOD AND SYSTEM FOR REMOTELY CONTROLLING A MOTOR VEHICLE,
EP3174766,EP15739521,53716437,"Thu, 23 Jul 2015",1,"Wed, 04 Apr 2018","['B60T 1/10', 'B60T 11/20', 'B60T 13/586', 'B60T 17/226', 'B60T 8/26', 'B60T 8/267']","['EP 3174766 A1', 'EP 3174766 B1']","Wed, 07 Jun 2017",DE/102014011598,de,"['B60T 1/10', 'B60T 11/20', 'B60T 13/58', 'B60T 17/22', 'B60T 8/1766', 'B60T 8/26']",BRAKE SYSTEM HAVING A BLENDING CAPABILITY,
EP3172462,EP15741985,53724344,"Wed, 22 Jul 2015",1,"Wed, 23 Sep 2020",F16H 57/0413,"['EP 3172462 A1', 'EP 3172462 B1']","Wed, 31 May 2017",DE/102014011096,de,F16H 57/04,DEVICE FOR CONDITIONING THE LUBRICATING OIL OF A TORQUE TRANSMISSION DEVICE,
EP3224830,EP15742206,53758187,"Fri, 17 Jul 2015",1,"Wed, 06 Jun 2018",G10L 15/22,"['EP 3224830 A1', 'EP 3224830 B1']","Wed, 06 Jun 2018",DE/102014017385,de,G10L 15/22,"COMMANDE D'UN APPAREIL D'UN VÉHICULE AUTOMOBILE, À CORRECTION DE COMMANDE",
EP3126874,EP15742181,53758167,"Fri, 17 Jul 2015",1,"Wed, 28 Mar 2018","['G01S 19/40', 'G01S 19/45']","['EP 3126874 A1', 'EP 3126874 B1']","Wed, 28 Mar 2018",DE/102014011092,de,"['G01S 19/03', 'G01S 19/40', 'G01S 19/45', 'G01S 19/48', 'G01S 19/49']",METHOD FOR DETERMINING A SPATIALLY RESOLVED EXTENT OF ERROR FOR POSITION FINDING WITH A GNSS,
EP2995908,EP15180027,53783150,"Thu, 06 Aug 2015",0,,G01C 21/3682,EP 2995908 A1,"Wed, 16 Mar 2016",US/201414482630,en,G01C 21/36,"APPARATUS, SYSTEM AND METHOD FOR CLUSTERING POINTS OF INTEREST IN A NAVIGATION SYSTEM","A navigation system, apparatus and method utilizing a processor (107, 402) and a sensor (103,403), operatively coupled to the processor (107, 402) to determine a location of the navigation system. An input is configured to receive destination data, specifying a destination, and point-of-interest (POI) data from a user, wherein the processor (107, 402) is configured to process the destination data and the POI data to determine a plurality of POIs that are in closest proximity to the destination and clustering the POIs for presentation on a navigational map. The processor (107, 402) may be further configured to generate a route from the location of the navigation system, the destination and at least one of the POIs in the navigational map based on at least one of speed and distance.
"
EP3000639,EP15002348,53783556,"Thu, 06 Aug 2015",1,"Wed, 26 Feb 2020",B60J 7/207,"['EP 3000639 A1', 'EP 3000639 B1']","Wed, 26 Feb 2020",DE/102014014090,de,B60J 7/20,DEVICE FOR HOLDING A VEHICLE CONVERTIBLE TOP IN CONVERTIBLE FORM AND MOTOR VEHICLE,
EP3197737,EP15745396,53776549,"Sat, 18 Jul 2015",1,"Wed, 19 Sep 2018","['B60W 30/09', 'B60W 30/095', 'B60W 30/0953', 'B60W 30/143', 'B60W 50/0097', 'B60W 50/14']","['EP 3197737 A1', 'EP 3197737 B1']","Wed, 19 Sep 2018",DE/102014014241,de,"['B60W 30/14', 'B60W 50/14']",METHOD FOR DRIVER INFORMATION AND MOTOR VEHICLE,
EP3194203,EP15745403,53776555,"Wed, 05 Aug 2015",1,"Wed, 30 Dec 2020","['B60N 2/0742', 'B60N 2/0745']","['EP 3194203 A1', 'EP 3194203 B1']","Wed, 26 Jul 2017",DE/102014014138,de,B60N 2/07,FAHRZEUGSITZ,
EP3157706,EP15747428,53783705,"Thu, 30 Jul 2015",1,"Wed, 13 Sep 2017","['B23K 26/044', 'B23K 26/0643', 'B23K 26/082', 'B23K 26/24', 'B23K 26/702']","['EP 3157706 A1', 'EP 3157706 B1']","Wed, 13 Sep 2017",DE/102014015094,de,"['B23K 26/044', 'B23K 26/06', 'B23K 26/082', 'B23K 26/24', 'B23K 26/70']",METHOD FOR THE LASER BEAM WELDING OF AT LEAST TWO PARTS TO BE JOINED BY MEANS OF OPTICAL SEAM TRACKING AND A SCANNER DEVICE HAVING SUPERIMPOSED OSCILLATING MIRROR OSCILLATION,
