,rd_2003,total_income_2003,rd_intensity_2003,a4,log_num_disputes,ownership1,ownership2,ownership3,ownership4,ownership5,ownership6,ownership7,ownership8,ownership9,simulated_rd_intensity,simulated_rd_intensity2
0,37100.0,102138.0,0.36323404,1,0.69314718,1,0,0,0,0,0,0,0,0,0.36323404,0.36323404
1,15.0,30223.0,0.00049631076,2,0.0,0,1,0,0,0,0,0,0,0,0.00049631076,0.00049631076
2,52680.0,1692894.0,0.031118309,5,0.0,0,0,0,0,1,0,0,0,0,0.05311396511791026,0.044976817450774656
3,109995.0,2199421.0,0.05001089,4,0.0,0,0,0,1,0,0,0,0,0,0.05001089,0.05001089
4,187654.0,2444823.0,0.076755658,5,0.0,0,0,0,0,1,0,0,0,0,0.0421878361007504,0.06081905932157444
5,8475.0,195939.0,0.043253258,4,0.0,0,0,0,1,0,0,0,0,0,0.043253258,0.043253258
6,5370.0,1297011.0,0.0041402886,4,1.3862944,0,0,0,1,0,0,0,0,0,0.0041402886,0.0041402886
7,633.0,58364.0,0.010845726,4,0.0,0,0,0,1,0,0,0,0,0,0.010845726,0.010845726
8,1000.0,35428.0,0.028226262,4,0.0,0,0,0,1,0,0,0,0,0,0.028226262,0.028226262
9,5324.0,438430.0,0.01214333,5,1.3862944,0,0,0,0,1,0,0,0,0,0.042400123955155446,0.3355016993136095
10,977.40002,234550.7,0.0041671162,5,1.9459101,0,0,0,0,1,0,0,0,0,0.0426593549433771,0.42814313491845923
11,7632.0,76071.0,0.10032733,4,0.0,0,0,0,1,0,0,0,0,0,0.10032733,0.10032733
12,11121.0,337985.31,0.032903798,4,1.3862944,0,0,0,1,0,0,0,0,0,0.032903798,0.032903798
13,6601.0,48984.0,0.13475829,4,0.0,0,0,0,1,0,0,0,0,0,0.13475829,0.13475829
14,500.0,142798.0,0.0035014497,2,0.0,0,1,0,0,0,0,0,0,0,0.0035014497,0.0035014497
15,258000.0,4734152.0,0.054497618,5,3.4339871,0,0,0,0,1,0,0,0,0,0.07441211441697781,0.7355210592470923
16,41.0,320972.0,0.000127737,1,3.0445225,1,0,0,0,0,0,0,0,0,0.000127737,0.000127737
17,2768.0,144841.0,0.019110611,8,0.0,0,0,0,0,0,0,0,1,0,0.019110611,0.019110611
18,23048.0,569972.0,0.040437073,4,0.69314718,0,0,0,1,0,0,0,0,0,0.040437073,0.040437073
19,10279.0,158885.0,0.064694591,5,0.69314718,0,0,0,0,1,0,0,0,0,0.07727546273652014,0.20444134430973085
20,1060.0,67221.0,0.015768882,4,0.0,0,0,0,1,0,0,0,0,0,0.015768882,0.015768882
21,17493.0,389956.0,0.044858906,7,0.0,0,0,0,0,0,0,1,0,0,0.044858906,0.044858906
22,17748.0,357330.0,0.049668375,5,0.0,0,0,0,0,1,0,0,0,0,0.06722610756248897,0.06740382242337493
23,2766.0,363748.0,0.0076041655,8,2.7725887,0,0,0,0,0,0,0,1,0,0.0076041655,0.0076041655
24,1686.0,126729.0,0.013303979,1,0.0,1,0,0,0,0,0,0,0,0,0.013303979,0.013303979
25,560.0,45588.0,0.012283934,6,0.0,0,0,0,0,0,1,0,0,0,0.012283934,0.012283934
26,45233.0,77363.0,0.58468521,5,0.0,0,0,0,0,1,0,0,0,0,0.17641304983013634,0.04374426198247737
27,92339.0,2309409.0,0.039983824,5,2.7080503,0,0,0,0,1,0,0,0,0,0.055014089512714914,0.5900441519068194
28,7593.0,323551.0,0.023467707,8,1.0986123,0,0,0,0,0,0,0,1,0,0.023467707,0.023467707
29,90.0,536671.0,0.00016770051,8,0.0,0,0,0,0,0,0,0,1,0,0.00016770051,0.00016770051
30,21187.0,479199.0,0.044213366,1,0.0,1,0,0,0,0,0,0,0,0,0.044213366,0.044213366
31,19959.0,732958.0,0.027230754,1,0.0,1,0,0,0,0,0,0,0,0,0.027230754,0.027230754
32,12575.0,3961910.0,0.0031739741,8,0.69314718,0,0,0,0,0,0,0,1,0,0.0031739741,0.0031739741
33,1090.0,1780192.0,0.00061229349,1,0.0,1,0,0,0,0,0,0,0,0,0.00061229349,0.00061229349
34,1662.0,84138.0,0.019753262,4,0.0,0,0,0,1,0,0,0,0,0,0.019753262,0.019753262
35,7650.0,223532.0,0.034223288,5,0.0,0,0,0,0,1,0,0,0,0,0.06272845601568533,0.03461885362678819
